p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective
 , , ,256,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.48884
 , , ,64,100,20, , , , ,3.5616256666666666
 , , ,2048,64,4, , , , ,6.091934666666666
 , , ,16,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.5161564999999997
 , , ,100,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.3212945
 , , ,100,512,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.206601666666667
 , , ,50,100,256, , , , ,78.670239
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,8.625246166666667
 , , ,100,100,100, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,71.36404866666668
 , , ,100,100,50, , , , ,58.74271316666667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,4, , , , ,2.4739188333333337
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,4, , , , ,9.108603333333333
 , , ,100,100,64, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,65.01517333333334
 , , ,100,64,4, , , , ,2.3407413333333333
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4, , , , ,10.178097666666666
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,4, , , , ,9.421848500000001
 , , ,100,100,80, , , , ,67.89063783333333
 , , ,100,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.865708
 , , ,100,128,4, , , , ,2.0376806666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,128,4, , , , ,3.6661593333333333
 , , ,100,128,100, , , , ,71.434221
 , , ,4,128,4, , , , ,4.249624
 , , ,100,512,16, , , , ,11.655887
 , , ,2048,20,4, , , , ,8.076231833333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,128,4, , , , ,3.6809068333333337
 , , ,100,128,64,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,64.654959
 , , ,100,128,50, , , , ,59.72817516666667
 , , ,100,128,8, , , , ,2.4039833333333336
 , , ,100,128,32, , , , ,47.60507766666666
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4, , , , ,21.495815500000003
 , , ,100,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),3.8609666666666667
 , , ,512,128,4, , , , ,2.4506895
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),3.8921115
 , , ,100,128,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,4.956161833333334
 , , ,100,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.7953818333333333
 , , ,100,128,64, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,64.39535166666667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4, , , , ,2.056946833333333
 , , ,100,128,80, , , , ,68.3287445
 , , ,100,20,4, , , , ,2.387373666666667
 , , ,80,128,4, , , , ,2.0602865
 , , ,96,128,4, , , , ,2.0432353333333335
 , , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.0894196666666667
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4, , , , ,8.904836500000002
 , , ,100,80,20, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.3763384999999997
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),5.433974333333333
 , , ,100,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.0677078333333334
 , , ,100,16,4, , , , ,2.3948605000000005
 , , ,256,128,4, , , , ,2.2261885
 , , ,100,50,16, , , , ,12.031482166666668
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,4, , , , ,9.235400499999999
 , , ,100,128,128, , , , ,74.06584333333332
 , , ,100,80,4, , , , ,2.151616333333333
