p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
128,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,explicit,sockets,-18.57912132079784,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
2,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,80,none,sockets,-0.0066997105900854,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,20,explicit,sockets,-24.8839,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,640, ,#pragma omp parallel for,128,64,20,explicit,threads,-26.662535,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,640, ,#pragma omp parallel for,256,96,10,explicit,threads,-24.85536666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,640, ,#pragma omp parallel for,256,96,40,explicit,threads,-11.446216666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,640, , ,256,96,20,explicit,sockets,-21.88167,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,256,128,160,compact,cores,-10.075540402159351,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,256,96,200,none,cores,-9.88505365026674,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
32,400, ,#pragma omp parallel for,256,96,20,disabled,sockets,2.116390284605705,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,200,none,sockets,-18.37054333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,256,128,160,none,cores,-18.311238333333336,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,256,128,200,compact,cores,-18.270756666666667,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,256,128,200,none,sockets,-18.339195,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,256,128,200,none,threads,-18.35425333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
32,640, ,#pragma omp parallel for,256,96,20,explicit,sockets,10.418303725595765,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,256,128,200,none,threads,-9.474861156481,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
48,640, ,#pragma omp parallel for,256,96,40,explicit,cores,5.071914301494374,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,200,none,cores,-4.147477686392199,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
32,800, , ,96,256,20,balanced,threads,0.0,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
16,1600,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,40,explicit,cores,-11.456255,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,640, ,#pragma omp parallel for,256,96,10,explicit,sockets,-11.460046666666663,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,640, , ,256,96,40,explicit,cores,-23.248281666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,640, ,#pragma omp parallel for,256,96,40,disabled,threads,-22.66202,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,400, ,#pragma omp parallel for,256,96,20,explicit,cores,-29.29342,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,800, ,#pragma omp parallel for,256,96,40,explicit,cores,5.214266217593394,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,640, ,#pragma omp parallel for,256,96,20,explicit,sockets,-28.25527333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,800, ,#pragma omp parallel for,256,96,20,explicit,threads,-22.81539666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
