p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
4,640, ,#pragma omp parallel for,256,4,10,compact,sockets,10000000,52.47886999999999,26655.81743907928
64,2000, , ,64,16,40,scatter,threads,10000000,16.584135000000003,27613.298997163776
64,200, , ,4,96,40,disabled,sockets,10000000,15.62995,28182.358408689503
8,1280, ,#pragma omp parallel for,256,128,200,scatter,sockets,10000000,21.81908,29170.261515617367
8,1280, , ,128,16,80,compact,cores,10000000,28.791935,29794.98473048209
32,800,#pragma clang loop unrolling full, ,32,2,100,compact,threads,10000000,16.332435,30572.993709564213
256,100,#pragma clang loop unrolling full, ,4,2,20,none,threads,10000000,17.609740000000006,31385.06956720352
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,20,explicit,threads,10000000,18.25275,32211.75616931916
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,200,compact,cores,10000000,15.23903,32788.058444976814
256,400,#pragma clang loop unrolling full, ,64,128,160,scatter,threads,10000000,16.95234,33471.505826950066
64,200, ,#pragma omp parallel for,4,2,100,explicit,threads,10000000,15.49497,33926.133182525635
16,1280, , ,128,32,40,disabled,sockets,10000000,11.81249,35171.69423270225
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,10,scatter,sockets,10000000,25.898865,36094.316024541855
