p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,size,objective,source,id
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",1024,50,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,14.200964,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06305.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",1024,512,1024, , , , ,XL,82.15750916666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06306.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,8,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,15.283991666666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06307.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,50,64, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,66.264012,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06308.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,256,2048, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,82.67440816666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06309.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,78.62545966666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06310.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,2048,2048,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,17.33842933333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06311.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,2048,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,49.260561,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06312.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,100,64, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,64.57615183333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06313.c
 , , ,4,50,80,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,70.04438616666668,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06314.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,1024,80,80, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,69.7372625,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06315.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,512,50,256, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,78.71213366666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06316.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,82.36485350000002,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06317.c
 , , ,512,8,128,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,75.00370316666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06318.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",2048,256,80, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,70.59375583333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06319.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,512,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,XL,13.109599,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06320.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,256,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,8.031344500000001,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06321.c
 , , ,2048,16,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,12.783944833333335,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06322.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,100,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,73.00398033333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06323.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,2048, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,82.58237316666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06324.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,2048,2048,80,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,XL,68.51894749999998,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06325.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,16,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,16.3333765,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06326.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,10.687762833333332,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06327.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,100,80,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,67.92216616666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06328.c
 , , ,512,8,128,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,74.952612,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06318.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,256,80,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,16.252231833333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06330.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,256,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,82.02110633333334,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06331.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,16,2048, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,84.53745516666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06332.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,512,1024, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,82.009568,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06333.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,XL,82.05194049999999,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06334.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,1024, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,81.99900183333334,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06335.c
 , , ,512,32,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,XL,3.2650883333333334,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06336.c
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,256,128,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,7.651706333333332,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06337.c
 , , ,8,4,2048, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,83.4463495,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06338.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,XL,64.49590066666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06339.c
 , , ,80,20,2048, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,82.66378283333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06340.c
 , , ,8,128,512, , , , ,XL,81.51360666666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06341.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,256,4,100,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,74.2298435,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06342.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,13.075823833333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06343.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,11.950129333333335,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06344.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,8, , , , ,XL,9.394504166666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06345.c
 , , ,128,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,XL,2.881243,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06346.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,8, , , , ,XL,10.297054166666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06347.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,128,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,9.585579333333332,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06348.c
 , , ,50,16,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,79.05164083333334,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06349.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,1024,128,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,79.26542316666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06350.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,256,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,12.885934333333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06351.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,78.8311945,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06352.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,16, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,21.385918833333328,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06353.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,9.351752166666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06354.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",512,128,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,10.3038455,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06355.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,2048,128,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,8.192649833333334,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06356.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,4, , , , ,XL,9.831139666666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06357.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,512, , , , ,XL,80.9906558333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06358.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,60.68134166666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06359.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,75.13976350000002,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06360.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,2048,256,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),XL,8.801364,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06361.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,2048,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,82.65129449999998,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06362.c
 , , ,64,128,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,7.665321833333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06363.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,256,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,XL,78.21943383333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06364.c
 , , ,8,128,2048, , , , ,XL,83.89220233333333,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06365.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",256,128,2048, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,82.44187083333334,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06366.c
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,256,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,10.3957235,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06367.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,128, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,73.81829666666665,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06368.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",1024,20,1024, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,82.40209166666666,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06369.c
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,256,100,256, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,XL,79.12642916666667,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06370.c
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),XL,10.9611965,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06298.c
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",1024,4,64, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,XL,68.42724799999999,bliss_seed_1234,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/_3MM_JOBS/_3mm/mmp_06296.c
