p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005353
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,1024, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0209933333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,80,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.018764
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0041811666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,1024,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0050031666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0048258333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,50, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0166385
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,2048,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0043749999999999
 , , ,20,256,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0044873333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0046365
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,4, , , , ,0.0044645
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,64,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004788
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,256,50, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0166303333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0042025
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,50, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.01651
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,1024,100, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0191103333333333
 , , ,20,50,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0050164999999999
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,256,2048, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.020887
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,32,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0048573333333333
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,256,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0044803333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0052811666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0045344999999999
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0041673333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,128,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0043373333333333
 , , ,20,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0043596666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,256,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0043683333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0049791666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004297
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0043646666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0048458333333333
 , , ,96,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004378
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,1024, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0208161666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,32, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0138375
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,256,32, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0135128333333333
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0056361666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0040836666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,16,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0048049999999999
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,80,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0186201666666666
